"","CalBP","PrDens"
"509",6492,0.000116569096742244
"510",6491,0.000116744101761572
"511",6490,0.000116919318918212
"512",6489,0.000117094748232451
"513",6488,0.00011727038972348
"514",6487,0.000117446243409385
"515",6486,0.000117622309307143
"516",6485,0.000117798587432616
"517",6484,0.000117975077800548
"518",6483,0.000118151780424557
"519",6482,0.000118328695317129
"520",6481,0.000118505822489615
"521",6480,0.000118683161952223
"522",6479,0.000118860713714016
"523",6478,0.000119038477782902
"524",6477,0.000119216454165632
"525",6476,0.000119394642867793
"526",6475,0.0001195730438938
"527",6474,0.000119751657246898
"528",6473,0.000119930482929147
"529",6472,0.000120109520941422
"530",6471,0.000120288771283408
"531",6470,0.00012046823395359
"532",6469,0.000120647908949251
"533",6468,0.000120827796266465
"534",6467,0.000121007895900093
"535",6466,0.000121188207843774
"536",6465,0.000121368732089921
"537",6464,0.000121549468629717
"538",6463,0.000121730417453107
"539",6462,0.000121911578548794
"540",6461,0.00012209295190423
"541",6460,0.000122274537505614
"542",6459,0.000122456335337885
"543",6458,0.000122638345384715
"544",6457,0.000122820567628505
"545",6456,0.000123003002050379
"546",6455,0.000123185648630174
"547",6454,0.000123368507346441
"548",6453,0.000123551578176436
"549",6452,0.000123734861096111
"550",6451,0.000123918356080113
"551",6450,0.000124102063101776
"552",6449,0.000124285982133115
"553",6448,0.000124470113144821
"554",6447,0.000124654456106252
"555",6446,0.000124839010985433
"556",6445,0.000125023777749042
"557",6444,0.000125208756362413
"558",6443,0.000125393946789522
"559",6442,0.000125579348992987
"560",6441,0.000125764962934057
"561",6440,0.00012595078857261
"562",6439,0.000126136825867145
"563",6438,0.000126323074774777
"564",6437,0.000126509535251229
"565",6436,0.000126696207250827
"566",6435,0.000126883090726496
"567",6434,0.00012707018562975
"568",6433,0.000127257491910689
"569",6432,0.000127445009517991
"570",6431,0.000127632738398907
"571",6430,0.000127820678499255
"572",6429,0.00012800882976341
"573",6428,0.000128197192134306
"574",6427,0.000128385765553422
"575",6426,0.000128574549960778
"576",6425,0.00012876354529493
"577",6424,0.000128952751492966
"578",6423,0.000129142168490492
"579",6422,0.000129331796221635
"580",6421,0.000129521634619029
"581",6420,0.000129711683613814
"582",6419,0.000129901943135629
"583",6418,0.000130092413112601
"584",6417,0.000130283093471346
"585",6416,0.000130473984136955
"586",6415,0.000130665085032995
"587",6414,0.000130856396081498
"588",6413,0.000131047917202953
"589",6412,0.000131239648316307
"590",6411,0.000131431589338951
"591",6410,0.000131623740186717
"592",6409,0.000131816100773872
"593",6408,0.000132008671013109
"594",6407,0.000132201450815544
"595",6406,0.000132394440090708
"596",6405,0.000132587638746539
"597",6404,0.000132781046689377
"598",6403,0.000132974663823957
"599",6402,0.000133168490053405
"600",6401,0.000133362525279227
"601",6400,0.000133556769401307
"602",6399,0.000133751222317895
"603",6398,0.000133945883925607
"604",6397,0.000134140754119413
"605",6396,0.000134335832792634
"606",6395,0.000134531119836932
"607",6394,0.000134726615142309
"608",6393,0.000134922318597093
"609",6392,0.000135118230087936
"610",6391,0.000135314349499809
"611",6390,0.000135510676715989
"612",6389,0.00013570721161806
"613",6388,0.000135903954085899
"614",6387,0.000136100903997676
"615",6386,0.000136298061229842
"616",6385,0.000136495425657125
"617",6384,0.000136692997152524
"618",6383,0.000136890775587299
"619",6382,0.000137088760830968
"620",6381,0.000137286952751297
"621",6380,0.000137485351214297
"622",6379,0.000137683956084213
"623",6378,0.00013788276722352
"624",6377,0.000138081784492915
"625",6376,0.000138281007751312
"626",6375,0.000138480436855832
"627",6374,0.0001386800716618
"628",6373,0.000138879912022736
"629",6372,0.000139079957790345
"630",6371,0.000139280208814519
"631",6370,0.00013948066494332
"632",6369,0.000139681326022981
"633",6368,0.000139882191897894
"634",6367,0.000140083262410606
"635",6366,0.00014028453740181
"636",6365,0.000140486016710341
"637",6364,0.000140687700173166
"638",6363,0.000140889587625378
"639",6362,0.000141091678900191
"640",6361,0.000141293973828931
"641",6360,0.000141496472241029
"642",6359,0.000141699173964015
"643",6358,0.00014190207882351
"644",6357,0.00014210518664322
"645",6356,0.00014230849724493
"646",6355,0.000142512010448493
"647",6354,0.000142715726071827
"648",6353,0.000142919643930908
"649",6352,0.000143123763839759
"650",6351,0.000143328085610447
"651",6350,0.000143532609053075
"652",6349,0.000143737333975773
"653",6348,0.000143942260184693
"654",6347,0.000144147387484002
"655",6346,0.000144352715675873
